FG,Pos,AST,G,Player,Age,BLK,PTS,FTA,TOV,TRB,StartYr,EndYr,SalStartYr,SalEndYr,Salary,salary_cap,salary_cap_adjusted,years_of_exp,Per_salary_cap
6.8,SG,2.8,79,Reggie Lewis,24,0.8,17.0,4.0,1.5,4.4,1989,1990,1990,1991,400000.0,9802000,19182059,0,0.040807998367680065
3.2,SG,1.5,79,Todd Lichti,23,0.2,8.0,2.2,1.2,1.9,1989,1990,1990,1991,565000.0,9802000,19182059,0,0.057641297694348094
1.3,C,0.7,3,Alton Lister,31,0.0,4.0,2.3,0.0,2.7,1989,1990,1990,1991,1700000.0,9802000,19182059,0,0.1734339930626403
3.8,PF,2.1,80,Brad Lohaus,25,1.1,9.2,1.3,1.4,5.0,1989,1990,1990,1991,1275000.0,9802000,19182059,0,0.13007549479698022
3.2,PF,1.2,81,Grant Long,23,0.5,8.5,3.0,1.7,5.0,1989,1990,1990,1991,300000.0,9802000,19182059,0,0.03060599877576005
3.6,SG,1.8,48,John Long,33,0.1,8.4,1.1,1.6,1.7,1989,1990,1990,1991,150000.0,9802000,19182059,0,0.015302999387880024
4.2,PF,1.3,75,Rick Mahorn,31,1.4,10.8,3.4,1.4,7.6,1989,1990,1990,1991,1330000.0,9802000,19182059,0,0.1356865945725362
4.1,SG,2.6,73,Dan Majerle,24,0.4,11.1,3.6,1.1,5.9,1989,1990,1990,1991,430000.0,9802000,19182059,0,0.04386859824525607
10.4,SG,3.2,75,Jeff Malone,28,0.1,24.3,3.9,1.7,2.7,1989,1990,1990,1991,915000.0,9802000,19182059,0,0.09334829626606815
11.1,PF,2.8,82,Karl Malone,26,0.6,31.0,11.1,3.7,11.1,1989,1990,1990,1991,2260000.0,9802000,19182059,0,0.23056519077739238
6.4,C,1.6,81,Moses Malone,34,1.0,18.9,7.8,2.9,10.0,1989,1990,1990,1991,2406000.0,9802000,19182059,0,0.24546011018159558
6.2,PF,2.6,71,Danny Manning,23,0.5,16.3,5.2,2.6,5.9,1989,1990,1990,1991,2200000.0,9802000,19182059,0,0.22444399102224036
2.5,SG,0.6,69,Jeff Martin,23,0.2,6.3,1.9,0.7,2.3,1989,1990,1990,1991,210000.0,9802000,19182059,0,0.021424199143032036
3.5,SG,3.7,79,Vernon Maxwell,24,0.1,9.0,2.7,1.8,2.9,1989,1990,1990,1991,250000.0,9802000,19182059,0,0.02550499897980004
1.0,SF,1.0,44,George McCloud,22,0.1,2.7,0.4,0.8,1.0,1989,1990,1990,1991,940000.0,9802000,19182059,0,0.09589879616404816
0.6,C,0.2,18,Tim McCormick,27,0.1,1.7,1.1,0.6,1.5,1989,1990,1990,1991,775000.0,9802000,19182059,0,0.07906549683738012
6.5,SF,4.6,82,Rodney McCray,28,0.9,16.6,4.2,2.1,8.2,1989,1990,1990,1991,985000.0,9802000,19182059,0,0.10048969598041216
8.9,SF,2.5,69,Xavier McDaniel,26,0.5,21.3,4.8,2.7,6.5,1989,1990,1990,1991,1400000.0,9802000,19182059,0,0.14282799428688023
7.9,PF,2.1,82,Kevin McHale,32,1.9,20.9,5.4,2.2,8.3,1989,1990,1990,1991,1400000.0,9802000,19182059,0,0.14282799428688023
5.9,SF,2.3,80,Derrick McKey,23,1.0,15.7,5.0,2.4,6.1,1989,1990,1990,1991,962000.0,9802000,19182059,0,0.09814323607427056
2.5,SG,7.3,82,Nate McMillan,25,0.5,6.4,1.9,2.3,4.9,1989,1990,1990,1991,658000.0,9802000,19182059,0,0.06712915731483371
0.7,PF,0.3,26,Scott Meents,26,0.1,2.1,0.9,0.3,1.2,1989,1990,1990,1991,300000.0,9802000,19182059,0,0.03060599877576005
8.1,SG,3.8,82,Reggie Miller,24,0.2,24.6,7.6,2.7,3.6,1989,1990,1990,1991,654000.0,9802000,19182059,0,0.06672107733115691
4.7,PF,1.1,80,Sam Mitchell,26,0.7,12.7,4.4,1.2,5.8,1989,1990,1990,1991,500000.0,9802000,19182059,0,0.05100999795960008
1.7,C,0.4,38,Paul Mokeski,33,0.3,4.0,0.9,0.7,2.6,1989,1990,1990,1991,100000.0,9802000,19182059,0,0.010201999591920016
